fips,county,state
06001,Alameda,CA
06003,Alpine,CA
06005,Amador,CA
06007,Butte,CA
06009,Calaveras,CA
06011,Colusa,CA
06013,Contra Costa,CA
06015,Del Norte,CA
06017,El Dorado,CA
06019,Fresno,CA
06021,Glenn,CA
06023,Humboldt,CA
06025,Imperial,CA
06027,Inyo,CA
06029,Kern,CA
06031,Kings,CA
06033,Lake,CA
06035,Lassen,CA
06037,Los Angeles,CA
06039,Madera,CA
06041,Marin,CA
06043,Mariposa,CA
06045,Mendocino,CA
06047,Merced,CA
06049,Modoc,CA
06051,Mono,CA
06053,Monterey,CA
06055,Napa,CA
06057,Nevada,CA
06059,Orange,CA
06061,Placer,CA
06063,Plumas,CA
06065,Riverside,CA
06067,Sacramento,CA
06069,San Benito,CA
06071,San Bernardino,CA
06073,San Diego,CA
06075,San Francisco,CA
06077,San Joaquin,CA
06079,San Luis Obispo,CA
06081,San Mateo,CA
06083,Santa Barbara,CA
06085,Santa Clara,CA
06087,Santa Cruz,CA
06089,Shasta,CA
06091,Sierra,CA
06093,Siskiyou,CA
06095,Solano,CA
06097,Sonoma,CA
06099,Stanislaus,CA
06101,Sutter,CA
06103,Tehama,CA
06105,Trinity,CA
06107,Tulare,CA
06109,Tuolumne,CA
06111,Ventura,CA
06113,Yolo,CA
06115,Yuba,CA
